Series 1: HYD,,,Series 2: THL,,,Series 3: DRAWL,,,Series 4: DEMAND,
15.27220367,401.805282,,18.26354199,4204.670517,,17.05987688,8657.614884,,16.09497077,10348.31286
15.3603745,401.9321465,,18.38698116,4204.848127,,17.16583412,8709.565901,,16.18304012,10313.9072
15.44854534,402.059011,,18.49273542,4187.734105,,17.25420794,8778.757806,,16.27090648,10210.43651
15.57233973,523.1004418,,18.59854042,4187.886342,,17.34248026,8813.417191,,16.37645775,10124.25745
15.66051057,523.2273063,,18.81035341,4257.255857,,17.57177518,8831.013299,,16.4823135,10141.67594
15.78445719,696.0675173,,18.93379258,4257.433467,,17.51877119,8796.40466,,16.57058583,10176.33533
15.87272952,730.7269019,,19.03964833,4274.851965,,17.83613545,8779.595112,,16.67649232,10211.02009
15.96090036,730.8537664,,19.14550408,4292.270462,,18.10288078,9539.691148,,16.7648154,10262.94573
16.04902045,713.7143709,,19.26904474,4326.980593,,18.19120385,9591.616793,,16.85313847,10314.87138
16.17281484,834.7558017,,19.37484974,4327.13283,,18.31520122,9781.723264,,17.04701282,10280.61796
16.26098567,834.8826662,,19.49828891,4327.310441,,18.52610079,9540.300098,,17.13518365,10280.74482
16.43692138,697.0063147,,19.60414466,4344.728938,,18.73664513,9178.013111,,17.22330374,10263.60543
16.52514296,714.3994393,,19.70994967,4344.881176,,18.93102694,9316.422294,,17.31152532,10280.99855
16.64827766,610.9794892,,19.81575467,4345.033413,,19.03693343,9351.107051,,17.41727958,10263.88453
16.73644849,611.1063537,,19.90387476,4327.894017,,19.12505352,9333.967656,,17.5407695,10281.3284
16.82456858,593.9669581,,19.9920456,4328.020882,,19.21307212,9282.29574,,17.62888959,10264.189
16.91248569,507.7625223,,20.08021643,4328.147746,,19.31867414,9213.382937,,17.71685744,10195.25083
17.01839218,542.4472799,,20.16838727,4328.274611,,19.40684497,9213.509802,,17.80477455,10109.04639
17.10651227,525.3078843,,20.25650736,4311.135215,,19.5480198,9248.245305,,17.964091,10316.46987
17.2120128,421.8625613,,20.37994653,4311.312826,,19.68909314,9248.448288,,18.05246482,10385.66177
17.30018364,421.9894258,,20.46816811,4328.70595,,19.90050016,9179.687723,,18.14063565,10385.78864
17.38835447,422.1162904,,20.5562882,4311.566555,,19.98846802,9110.749547,,18.29934316,10386.01699
17.47652531,422.2431549,,20.6620932,4311.718792,,20.07643587,9041.811372,,18.40519891,10403.43549
17.56459465,387.8374992,,20.7678982,4311.87103,,20.19987504,9041.988982,,18.49306527,10299.9648
17.65281623,405.2306238,,20.87365246,4294.757007,,20.28804587,9042.115846,,18.58108387,10248.29288
17.74098707,405.3574883,,20.97945746,4294.909244,,20.37616596,9024.976451,,18.97005046,10594.17628
17.86412176,301.9375383,,21.1205308,4295.112228,,20.46413382,8956.038275,,19.05827204,10611.56941
17.95224185,284.7981427,,21.26165488,4312.581471,,20.56993882,8956.190512,,19.14639213,10594.43001
18.04041269,284.9250072,,21.36745989,4312.733708,,20.71055544,8800.997155,,19.26942534,10456.47754
18.12858353,285.0518717,,21.49084831,4295.645058,,20.79862479,8766.591499,,19.37517959,10439.36352
18.21675436,285.1787362,,21.59675481,4330.329816,,20.95753528,8835.884896,,19.48093385,10422.2495
18.3049252,285.3056008,,21.6848749,4313.19042,,21.11624278,8836.113252,,19.60427153,10387.89459
18.39309603,285.4324653,,21.79062915,4296.076398,,21.31062459,8974.522434,,19.69244236,10388.02145
18.48126687,285.5593298,,21.91411907,4313.520268,,21.3989984,9043.714339,,19.78056245,10370.88206
18.60501051,389.3345005,,22.01992407,4313.672506,,21.48727073,9078.373724,,19.93921921,10353.84415
18.69333359,441.2601452,,22.12567833,4296.558483,,21.57534008,9043.968068,,20.04482123,10284.93135
18.78150442,441.3870097,,22.26670092,4279.495206,,21.66356166,9061.361193,,20.13289058,10250.52569
18.88730943,441.5392471,,22.49594509,4279.825054,,21.76962039,9147.844731,,20.2384926,10181.61289
18.97548026,441.6661116,,22.63691694,4245.495517,,21.89311031,9165.288601,,20.32656194,10147.20724
19.0636511,441.7929761,,22.77804102,4262.96476,,21.98117965,9130.882945,,20.41478352,10164.60036
19.15182193,441.9198407,,22.88389677,4280.383258,,22.24493097,8872.269638,,20.50290361,10147.46097
19.23994202,424.7804451,,23.06023844,4280.636987,,22.40302952,8665.302873,,20.60870861,10147.6132
